INFO  - 2015-03-04 21:47:34.123; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-03-04 21:47:34.124; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-03-04 21:47:34.127; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-03-04 21:47:34.127; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-03-04 21:47:34.127; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-03-04 21:47:34.127; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-03-04 21:47:34.128; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-03-04 21:47:34.257; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2015-03-04 21:47:34.259; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-03-04 21:47:34.260; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-03-04 21:47:34.261; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-03-04 21:47:34.296; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/hadoop/solr-4.10.2/example/solr
INFO  - 2015-03-04 21:47:34.305; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/hadoop/solr-4.10.2/example/solr/collection1/
INFO  - 2015-03-04 21:47:34.305; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2015-03-04 21:47:34.307; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/hadoop/solr-4.10.2/example/solr/collection1/'
INFO  - 2015-03-04 21:47:34.402; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2015-03-04 21:47:34.404; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2015-03-04 21:47:34.405; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2015-03-04 21:47:34.405; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2015-03-04 21:47:34.405; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2015-03-04 21:47:34.405; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2015-03-04 21:47:34.406; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2015-03-04 21:47:34.406; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2015-03-04 21:47:34.406; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2015-03-04 21:47:34.406; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2015-03-04 21:47:34.406; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2015-03-04 21:47:34.407; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2015-03-04 21:47:34.407; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2015-03-04 21:47:34.407; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2015-03-04 21:47:34.407; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2015-03-04 21:47:34.407; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2015-03-04 21:47:34.408; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2015-03-04 21:47:34.408; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2015-03-04 21:47:34.408; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2015-03-04 21:47:34.408; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/hadoop/solr-4.10.2/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
